,,,,,,,,
Ticket ID,Description,Environment Affected,,Planned Start Date,Planned End Date,Change Type,Reason,Client Impacted
CHG0407470,AHW(B61): PROD: Upgrade: CAE 25 R1: Upgrade CAE and TCS from 6.1 R3 to 25 R1,Prod,Completed Succesfully,9/12/2025 12:00,9/14/2025 17:00,Normal,Authorize,Adventist Health West (AHW)
CHG0407466,AHW(B61): PROD: Upgrade: QNXT 25R1:  QNXT upgrade from 6.1 R3 to 25 R1,Prod,Completed Succesfully,9/12/2025 12:00,9/14/2025 17:00,Normal,Authorize,Adventist Health West (AHW)
CHG0409231,VHI (B33) : MGMT : Enable Monitoring : TMS 6.1 : Setup and Enable Monitoring,Prod,,9/12/2025 18:00,9/12/2025 22:00,Normal,Assess,Viva Health Inc. (VHI)
CHG0409200,PFS (B38) : MGMT :Enable : TMS 6.1 : Setup and Enable Monitoring,Prod,,9/12/2025 18:00,9/17/2025 5:00,Normal,Assess,PacificSource Health Plans (PFS)
CHG0409285,BCN (B09) : E2E : Migration : Facets  25.x :: BCU Config - CGZ DBA & SA Supp't Req'd *9/12/2025*,NonProd,,9/12/2025 18:00,9/13/2025 2:00,Normal,Assess,Blue Care Network (BCN)
CHG0409202,CIG (B68) : MGMT : Enable : ClaimSphere v6 : Setup and Enable Monitoring,Prod,,9/12/2025 18:00,9/17/2025 5:00,Normal,Scheduled,CIGNA HealthCare of Connecticut (CIG)
CHG0409248,HMSA (B39) : PROD : Enable Monitoring : TMS 6.1 : Setup and Enable Monitoring,Prod,,9/12/2025 18:00,9/18/2025 23:00,Normal,Assess,Hawaii Medical Service Assoc (HMS)
CHG0409208,PRT (B36) : MGMT : Deploy: TMS 6.1 : Setup and Enable Monitoring,Prod,,9/12/2025 18:00,9/19/2025 18:00,Normal,Scheduled,Priority Health (PH)
CHG0408686,EMB (B73) : Prod : Upgrade : TMS 6.1 ::: Elements 6.1R5.3 Upgrade,Prod,Not started,9/12/2025 19:00,9/13/2025 11:00,Normal,Scheduled,Emblem Health (EMB)
CHG0409244,LAC (B11) : PPMO : Migration : CAE 6.0 ::: PPMO migration request for attached MLTSS letter templates,PPMO,,9/12/2025 19:00,9/13/2025 5:00,Normal,Assess,LA Care Health Plan (LAC)
CHG0408370,MGBHP/AWHP(N06) : PROD : Deploy : QNXT 6.1 : Update QNXT Configuration to enable SSO,Prod,,9/12/2025 20:00,9/13/2025 8:00,Normal,Assess,Allways Health Partners (AWHP/NHP)
CHG0408232,Community Care Health(CCH - B19)  : PROD : DR : QNXT 6.0 : Disaster Recovery exercise ,Prod,Completed Succesfully,9/12/2025 20:00,9/13/2025 12:00,Normal,Scheduled,Community Care Health (CCH)
CHG0409225,SFHP (B34 ) : Prod : Deploy: TMS25.1 :  Memory increase  to TMS App Server,Prod,,9/13/2025 2:00,9/13/2025 6:00,Normal,Assess,San Francisco Health Plan (SFHP)
CHG0409193,CIG (B68) : BFX : HW : Emedlogix 1.0 : Assign 250 GB Disk for New Mount Point,NonProd,,9/13/2025 3:00,9/13/2025 6:00,Normal,Assess,CIGNA HealthCare of Connecticut (CIG)
CHG0409273,EMB (B73) : Prod : Deploy: Facets 6.1::::Memory and CPU  addition in Prod BAT servers,Prod,,9/13/2025 3:00,9/13/2025 5:00,Normal,Assess,Emblem Health (EMB)
CHG0408695,UHA (B44) : PROD : Deploy : QNXT 6.1 R3 - Storage addition to PROD SQL servers for AEP readiness,Prod,,9/13/2025 4:00,9/13/2025 12:00,Normal,Assess,University Health Alliance (UHA)
CHG0408739,WMK(B46) : PROD : Deploy : Facets 25.1  ::: Update Config File  for Optum CES to Cloud Migration **Pending lower env ticket**,Prod,,9/13/2025 9:00,9/13/2025 19:00,Normal,Assess,Wellmark (WMK)
CHG0409044,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : Manifest_File_Sprint2&3_Final_Deployment_08_20_2025_2025-09-10_15-37-47.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Scheduled,Adventist Health West (AHW)
CHG0409056,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : Deployment_834Export_834ImportPostAddin_2025-09-10_16-34-13.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Authorize,Adventist Health West (AHW)
CHG0409042,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : Manifest Files Sprint 1 837 Export Global_2025-09-10_15-33-02.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Scheduled,Adventist Health West (AHW)
CHG0409055,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : WebConfig_Sprint1 _Production_2025-09-10_16-18-07.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Authorize,Adventist Health West (AHW)
CHG0409052,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : Emdeon_02M_02P_Custom_FilePath_Configuration_2025-09-10_16-11-40.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Authorize,Adventist Health West (AHW)
CHG0409049,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : Emdeon_Files_Generation_Logic_Final_2025-09-10_16-03-29.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Scheduled,Adventist Health West (AHW)
CHG0409045,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : Manifest_File_DIFramework_Custom_Queries_2025-09-10_15-39-20.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Scheduled,Adventist Health West (AHW)
CHG0409046,AHW(B61) : PROD : DevOps : QNXT v6.00 R1 : Manifest_File_Sprint2&3_Final_Missing_DLLs_2025-09-10_15-40-31.zip,Prod,,9/13/2025 10:00,9/13/2025 20:00,Normal,Scheduled,Adventist Health West (AHW)
CHG0408966,PRH (B08) : PROD : HW : QNXT 6.0 : Hyper-V Migration,Prod,Completed Succesfully,9/13/2025 16:00,9/14/2025 12:00,Normal,Assess,Prominence Health Plan (PRH)
CHG0409257,QIC (B51): M01 : Vulnerability :  QicLink 25.x:::: SecVul - B51 QL - RITM2325729 - Remediate EOL: Adobe Flash Player Detected Vulnerability,Prod,,9/13/2025 18:00,9/14/2025 11:00,Normal,Assess,QicLink (Shared)
CHG0408970,CISHOC(A02) :  HOC3 : non-prod : other 6.4 :: Upgrade WinZip,NonProd,,9/13/2025 20:00,9/14/2025 10:00,Normal,Assess,CIS Healthcare Operations Center (CISHOC)
CHG0408700,MMM (B57):  PROD:  Deploy : QNXT 6.0::::ADS for Remaining Planintegration Archiving Process,Prod,,9/13/2025 23:30,9/14/2025 2:00,Normal,Scheduled,InnovaCare (AVM)
CHG0408984,BCN(B09) : PROD : DEPLOY : Facets 6.2 :::::  BCN 2025F16- Production - BCU Config - CGZ DBA & SA Supp't Req'd *9/14/2025*****Regular Table *****,Prod,,9/14/2025 8:00,9/14/2025 20:00,Normal,Assess,Blue Care Network (BCN)
CHG0409195,BCN(B09) : PROD : Migration : NetworX pricer 6.0::: :SA NetworX Pricer Table Migration PPMO to PROD 09/14/2025,Prod,,9/14/2025 14:00,9/14/2025 20:00,Normal,Assess,Blue Care Network (BCN)
CHG0408958,EMB(B73) : PROD : HSS : Optum  5.9 ::::Hosted: PROD: 3rd Party:HSS 9/14/2025,Prod,,9/14/2025 17:00,9/15/2025 5:00,Normal,Assess,Emblem Health (EMB)
CHG0409213,BCN(B09) : E2E : ClaimsXten : ClaimsXten 6.1 :::BCN6.1 R2- E2E  servers CXTN – DEPLOYMENT OF THE PACKAGE FROM CHC,NonProd,,9/14/2025 18:00,9/15/2025 5:00,Normal,Assess,Blue Care Network (BCN)
CHG0408940,"BCN(B09) : PROD : Migration : CAE 6.0 :: E2E to Prod :::::Contents,Letters and Keyed Inserts - Care Advance - 9/14/2025",Prod,,9/14/2025 18:30,9/15/2025 3:00,Normal,Scheduled,Blue Care Network (BCN)
